Hour,Minute,Second,Temp,Longitude,Latitude,Altitude
17,45,2,30,0,0,0,0
17,45,8,30,0,0,0,0
17,45,14,30,0,0,0,0
17,45,20,30,0,0,0,0
17,45,26,30,0,0,0,0
17,45,32,30,0,0,0,0
17,45,38,30,0,374537591,-1221912670,-11070
17,45,44,30,0,374537792,-1221912943,-14777
17,45,50,30,0,374538077,-1221912929,-17131
17,45,56,30,0,374538045,-1221913011,-16690
17,46,2,30,0,374537677,-1221913104,-13672
17,46,8,30,0,374537572,-1221913119,-11864
17,46,14,30,0,374537450,-1221912940,-9808
17,46,20,30,0,374537262,-1221912738,-7547
17,46,26,30,0,374537091,-1221912617,-6124
17,46,32,30,0,374537025,-1221912639,-7004
17,46,38,30,0,374537052,-1221912672,-7672
17,46,44,30,0,374537040,-1221912637,-6916
17,46,50,30,0,374537037,-1221912525,-6402
17,46,56,30,0,374537079,-1221912392,-6465
17,47,2,30,0,374537095,-1221912351,-7810
17,47,8,30,0,374536999,-1221912425,-10197
17,47,14,30,0,374536953,-1221912522,-12739
17,47,20,30,0,374536909,-1221912599,-14656
17,47,26,30,0,374536891,-1221912609,-14524
17,47,32,30,0,374536888,-1221912618,-12292
17,47,38,30,0,374536890,-1221912630,-10161
17,47,44,30,0,374536871,-1221912617,-7928
17,47,50,30,0,374536868,-1221912634,-6676
17,47,56,30,0,374536768,-1221912608,-3938
17,48,2,30,0,374536656,-1221912624,-2839
17,48,8,31,0,374536568,-1221912681,-1861
17,48,14,31,0,374536539,-1221912693,-1165
17,48,20,31,0,374536552,-1221912701,-1745
17,48,26,31,0,374536508,-1221912817,-473
17,48,32,31,0,374536404,-1221912876,2154
17,48,38,31,0,374536358,-1221912894,3792
17,48,44,31,0,374536402,-1221912839,3444
17,48,50,31,0,374536571,-1221912677,1913
17,48,56,31,0,374536721,-1221912490,857
17,49,2,31,0,374536756,-1221912409,-1166
17,49,8,31,0,374536745,-1221912438,-933
17,49,14,31,0,374536623,-1221912589,-444
17,49,20,31,0,374536598,-1221912621,-836
17,49,26,31,0,374536581,-1221912686,-1673
17,49,32,31,0,374536520,-1221912611,-1984
17,49,38,31,0,374536607,-1221912650,-4359
17,49,44,31,0,374536727,-1221912674,-7681
17,49,50,31,0,374536794,-1221912722,-9261
17,49,56,31,0,374536817,-1221912741,-10704
17,50,2,31,0,374536741,-1221912712,-10877
17,50,8,31,0,374536685,-1221912676,-9703
17,50,14,31,0,374536659,-1221912630,-8352
17,50,20,31,0,374536653,-1221912545,-7474
17,50,26,31,0,374536654,-1221912463,-6985
17,50,32,31,0,374536679,-1221912415,-8411
17,50,38,31,0,374536721,-1221912372,-9524
17,50,44,31,0,374536764,-1221912395,-10961
17,50,50,31,0,374536777,-1221912480,-11114
17,50,56,31,0,374536847,-1221912602,-9706
17,51,2,31,0,374536940,-1221912775,-9974
17,51,8,31,0,374536997,-1221912876,-9345
17,51,14,31,0,374536981,-1221912916,-8000
17,51,20,31,0,374536950,-1221912957,-5310
17,51,26,31,0,374536922,-1221912953,-4396
17,51,32,31,0,374536880,-1221912950,-3353
17,51,38,31,0,374536847,-1221912998,-2727
17,51,44,31,0,374536836,-1221913033,-3178
17,51,50,31,0,374536822,-1221913092,-4378
17,51,56,31,0,374536790,-1221913153,-4535
17,52,2,31,0,374536747,-1221913246,-4243
17,52,8,31,0,374536708,-1221913358,-4407
17,52,14,32,0,374536689,-1221913414,-2385
17,52,20,32,0,374536681,-1221913445,-922
17,52,26,32,0,374536686,-1221913452,266
17,52,32,32,0,374536681,-1221913456,1730
17,52,38,32,0,374536729,-1221913432,6152
17,52,44,32,0,374536774,-1221913368,7290
17,52,50,32,0,374536821,-1221913262,9981
17,52,56,32,0,374536805,-1221913197,13949
17,53,2,32,0,374536741,-1221913169,15614
17,53,8,32,0,374536694,-1221913120,15687
17,53,14,32,0,374536629,-1221913130,17043
17,53,20,32,0,374536588,-1221913137,17079
17,53,26,32,0,374536565,-1221913090,15273
17,53,32,32,0,374536567,-1221912978,13269
17,53,38,32,0,374536570,-1221912958,11534
17,53,44,32,0,374536587,-1221912886,10078
17,53,50,32,0,374536567,-1221912853,7302
17,53,56,32,0,374536590,-1221912781,4339
17,54,2,32,0,374536559,-1221912908,4166
17,54,8,32,0,374536503,-1221913052,4792
17,54,14,32,0,374536447,-1221913082,-1228
17,54,20,32,0,374536478,-1221913125,-3132
17,54,26,32,0,374536530,-1221913151,-6395
17,54,32,32,0,374536535,-1221913148,-7075
17,54,38,32,0,374536536,-1221913067,-6323
17,54,44,32,0,374536657,-1221912989,-6865
17,54,50,32,0,374536677,-1221912924,-6685
17,54,56,32,0,374536696,-1221912976,-7110
17,55,2,32,0,374536834,-1221912842,-8828
17,55,8,32,0,374536830,-1221912815,-9208
17,55,14,32,0,374536753,-1221912781,-10117
17,55,20,32,0,374536724,-1221912766,-10903
17,55,26,32,0,374536713,-1221912725,-11414
17,55,32,32,0,374536665,-1221912770,-10285
17,55,38,32,0,374536692,-1221912807,-11305
17,55,44,32,0,374536673,-1221912744,-12238
17,55,50,32,0,374536622,-1221912607,-13134
17,55,56,32,0,374536522,-1221912482,-12900
17,56,2,32,0,374536587,-1221912426,-21142
17,56,8,32,0,374536494,-1221912310,-23513
17,56,14,32,0,374536491,-1221912240,-24429
17,56,20,32,0,374536501,-1221912168,-25497
17,56,26,32,0,374536470,-1221912220,-25464
17,56,32,32,0,374536541,-1221912345,-24772
17,56,38,32,0,374536616,-1221912380,-25112
17,56,44,32,0,374536635,-1221912091,-28794
17,56,50,32,0,374536728,-1221912025,-28337
17,56,56,32,0,374536849,-1221911949,-26563
17,57,2,32,0,374536952,-1221912167,-20634
17,57,8,32,0,374536964,-1221912268,-16699
17,57,14,32,0,374536971,-1221912399,-13611
17,57,20,32,0,374536942,-1221912452,-13079
17,57,26,32,0,374537032,-1221912538,-11963
17,57,32,32,0,374537125,-1221912918,-8536
17,57,38,32,0,374537110,-1221913196,-6633
17,57,44,32,0,374537164,-1221913277,-5529
17,57,50,32,0,374537170,-1221913381,-4033
17,57,56,32,0,374537112,-1221913348,-4849
17,58,2,32,0,374537141,-1221913327,-4622
17,58,8,32,0,374537102,-1221913257,-5624
17,58,14,32,0,374537329,-1221913132,-6758
17,58,20,32,0,374537385,-1221912955,-8993
17,58,26,32,0,374537350,-1221912698,-11434
17,58,32,32,0,374537215,-1221912565,-13537
17,58,38,32,0,374537044,-1221912601,-14284
17,58,44,32,0,374537055,-1221912669,-13732
17,58,50,32,0,374537052,-1221912759,-12548
17,58,56,32,0,374537127,-1221912736,-11034
17,59,2,32,0,374537216,-1221912648,-10763
17,59,8,32,0,374537264,-1221912471,-12982
17,59,14,32,0,374537104,-1221912328,-14287
17,59,20,32,0,374536981,-1221912316,-13133
17,59,26,32,0,374536883,-1221912456,-9615
17,59,32,32,0,374536868,-1221912468,-8667
17,59,38,32,0,374536820,-1221912481,-8449
17,59,44,32,0,374536813,-1221912478,-7714
17,59,50,32,0,374536866,-1221912422,-9290
17,59,56,32,0,374536892,-1221912440,-10093
18,0,2,32,0,374536867,-1221912546,-11358
18,0,8,32,0,374536848,-1221912559,-14381
18,0,14,32,0,374536846,-1221912535,-16665
18,0,20,32,0,374536730,-1221912532,-12819
18,0,26,32,0,374536827,-1221912560,-8844
18,0,32,32,0,374536783,-1221912583,-4357
18,0,38,32,0,374536807,-1221912601,-2380
18,0,44,32,0,374536856,-1221912646,338
18,0,50,32,0,374536838,-1221912650,1963
18,0,56,32,0,374536909,-1221912643,3838
18,1,2,32,0,374536915,-1221912760,6291
18,1,8,32,0,374536908,-1221912851,8076
18,1,14,32,0,374536894,-1221912841,8016
18,1,20,32,0,374536891,-1221912710,10661
18,1,26,32,0,374536920,-1221912581,11888
18,1,32,33,0,374536933,-1221912459,12486
18,1,38,32,0,374536961,-1221912526,12170
18,1,44,33,0,374537052,-1221912433,12917
18,1,50,33,0,374537041,-1221912429,13555
18,1,56,33,0,374537101,-1221912510,14659
18,2,2,33,0,374536761,-1221912725,14666
18,2,8,33,0,374537081,-1221912415,16087
18,2,14,33,0,374536987,-1221912601,17821
18,2,20,33,0,374537015,-1221912405,18196
18,2,26,33,0,374537026,-1221912333,19429
18,2,32,33,0,374537050,-1221912407,20177
18,2,38,33,0,374537236,-1221912289,21385
18,2,44,33,0,374537237,-1221912309,23239
18,2,50,33,0,374537449,-1221912332,22874
18,2,56,33,0,374537727,-1221912237,21416
18,3,2,33,0,374537791,-1221912170,21408
18,3,8,33,0,374537557,-1221912290,23001
18,3,14,33,0,374537525,-1221912149,24995
18,3,20,33,0,374537318,-1221912391,26483
18,3,26,33,0,374537514,-1221912301,27236
18,3,32,33,0,374537483,-1221912389,27201
18,3,38,33,0,374537042,-1221912135,27242
18,3,44,33,0,374537258,-1221912237,27195
18,3,50,33,0,374537146,-1221912184,29391
18,3,56,33,0,374536746,-1221912181,29813
18,4,2,33,0,374537001,-1221911870,31408
18,4,8,33,0,374537053,-1221911933,33282
18,4,14,33,0,374536848,-1221912008,34704
18,4,20,33,0,374536509,-1221911745,33368
18,4,26,33,0,374536538,-1221911880,33425
18,4,32,33,0,374536527,-1221912215,35115
18,4,38,33,0,374536778,-1221911925,35549
18,4,44,33,0,374536376,-1221912231,36234
18,4,50,33,0,374536351,-1221912428,37112
18,4,56,33,0,374536690,-1221912041,38656
18,5,2,33,0,374536478,-1221912219,38861
18,5,8,33,0,374536446,-1221912515,38700
18,5,14,33,0,374536794,-1221912161,40157
18,5,20,33,0,374537091,-1221912144,41001
18,5,26,33,0,374536822,-1221912269,40102
18,5,32,33,0,374537285,-1221912061,41239
18,5,38,33,0,374537350,-1221911962,42338
18,5,44,33,0,374537343,-1221912209,42484
18,5,50,33,0,374537248,-1221911813,43313
18,5,56,33,0,374537425,-1221911629,46607
18,6,2,33,0,374537554,-1221912011,47487
18,6,8,33,0,374537096,-1221911807,49165
18,6,14,33,0,374537032,-1221911758,49526
18,6,20,33,0,374537410,-1221911685,50340
18,6,26,33,0,374537155,-1221911677,50511
18,6,32,33,0,374536724,-1221911872,49759
18,6,38,33,0,374536851,-1221911956,50193
18,6,44,33,0,374536900,-1221912109,51589
18,6,50,33,0,374537018,-1221912081,53103
18,6,56,33,0,374536959,-1221911882,54339
18,7,2,33,0,374536752,-1221911963,55382
18,7,8,33,0,374536983,-1221911814,55859
18,7,14,33,0,374536834,-1221911765,56515
18,7,20,33,0,374536470,-1221911873,58114
18,7,26,33,0,374536405,-1221912104,59089
18,7,32,33,0,374536693,-1221912120,60671
18,7,38,33,0,374537001,-1221911786,61240
18,7,44,33,0,374537186,-1221912140,61418
18,7,50,33,0,374536853,-1221912170,61356
18,7,56,33,0,374536917,-1221912025,62249
18,8,2,33,0,374536881,-1221912120,62466
18,8,8,33,0,374536806,-1221911994,63778
18,8,14,33,0,374536811,-1221912058,63843
18,8,20,33,0,374536965,-1221911957,65384
18,8,26,33,0,374537180,-1221911876,65865
18,8,32,33,0,374536840,-1221911981,66101
18,8,38,33,0,374536744,-1221912058,68439
18,8,44,33,0,374537109,-1221912000,69646
18,8,50,33,0,374537191,-1221912060,71003
18,8,56,33,0,374537008,-1221911961,72834
18,9,2,33,0,374537058,-1221911962,72465
18,9,8,33,0,374537260,-1221911467,71817
18,9,14,33,0,374537239,-1221911256,73884
18,9,20,33,0,374536861,-1221911260,76882
18,9,26,33,0,374536657,-1221911396,77853
18,9,32,33,0,374536547,-1221911365,78330
18,9,38,33,0,374536721,-1221911185,79232
18,9,44,33,0,374536907,-1221910854,80725
18,9,50,33,0,374537001,-1221911123,78638
18,9,56,33,0,374537059,-1221911503,80026
18,10,2,33,0,374536757,-1221911631,81319
18,10,8,33,0,374536723,-1221911596,81654
18,10,14,33,0,374536769,-1221911657,82075
18,10,20,33,0,374536899,-1221911624,82737
18,10,26,33,0,374537079,-1221911616,85297
18,10,32,33,0,374537093,-1221911721,86690
18,10,38,33,0,374537199,-1221911472,87339
18,10,44,33,0,374537049,-1221911558,90906
18,10,50,33,0,374537149,-1221911485,91382
18,10,56,33,0,374537339,-1221911587,92467
18,11,2,33,0,374537509,-1221911456,92510
18,11,8,33,0,374537459,-1221911677,92930
18,11,14,33,0,374537390,-1221911908,93408
18,11,20,33,0,374537517,-1221912034,95729
18,11,26,33,0,374537657,-1221912144,97116
18,11,32,33,0,374537251,-1221912258,96994
